brokertitle,type,price,beds,bath,propertysqft,formatted_address,latitude,longitude,log_price,price_segment,eda_type_clean,log_beds,beds_sqrt,beds_asinh,beds_binned,log_bath,bath_binned,area_missing,log_area,zip,borough,borough_Manhattan,borough_Brooklyn,borough_Queens,price_per_sqft,log_pps
Brokered by E Realty International Corp,Multi-family home for sale,1290000,5,3,1495.512345,"44-12 65th St, Flushing, NY 11377, USA",40.7404458,-73.9008992,14.070152776337855,mid,Multi-family home for sale,1.791759469228055,2.23606797749979,2.312438341272753,5,1.3862943611198906,3,1,7.3108925765069745,11377,Queens,False,False,True,862.5806428899789,6.761087283949865
Brokered by Howard Hanna | Rand Realty,House for sale,575000,3,1,1390.0,"920 Harding Park, Bronx, NY 10473, USA",40.8069155,-73.8562067,13.262125319779487,entry,House for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,0,7.237778191923443,10473,The Bronx,False,False,False,413.66906474820144,6.027480767769119
Brokered by Cross Country Realty,House for sale,1499000,7,6,1495.512345,"120-47 Sunrise Ct, College Point, NY 11356, USA",40.7952284,-73.8483228,14.220308777084735,mid,House for sale,2.0794415416798357,2.6457513110645907,2.644120761058629,7-10,1.9459101490553132,5-6,1,7.3108925765069745,11356,Queens,False,False,True,1002.3320803814561,6.911081820284785
"Brokered by Fillmore Real Estate Fusion Team, INC.",Co-op for sale,800000,2,1,1200.0,"100 Avenue P #1h, Brooklyn, NY 11204, USA",40.6072346,-73.9847935,13.592367006650065,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,0.6931471805599453,1,0,7.0909098220799835,11204,Brooklyn,False,True,False,666.6666666666666,6.503789046997708
Brokered by Keller Williams NYC,Co-op for sale,750000,1,1,1495.512345,"120 E 36th St, New York, NY 10016, USA",40.7477728,-73.9794793,13.527828485512494,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,1,7.3108925765069745,10016,Manhattan,True,False,False,501.50037377324355,6.2195963837603045
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1750000,2,2,1320.0,"199 Conover St #2b, Brooklyn, NY 11231, USA",40.6774843,-74.0147997,14.375126345899696,mid,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,0,7.186144304522325,11231,Brooklyn,False,True,False,1325.7575757575758,7.190493331703065
Brokered by COMPASS,Condo for sale,2750000,2,2,1488.0,"30 Orchard St Ph B, New York, NY 10002, USA",40.7155919,-73.9912903,14.827111469642754,mid,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,0,7.305860032684009,10002,Manhattan,True,False,False,1848.1182795698924,7.522464198821907
Brokered by COMPASS,Condo for sale,698000,1,1,1495.512345,"70 W 139th St #8i, New York, NY 10037, USA",40.8162042,-73.9383242,13.45597438174451,entry,Condo for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,1,7.3108925765069745,10037,Manhattan,True,False,False,466.729681191632,6.14789052474864
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,425000,1,1,1495.512345,"333 E 66th St #9b, New York, NY 10065, USA",40.7643711,-73.9593578,12.959844447906553,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,1,7.3108925765069745,10065,Manhattan,True,False,False,284.1835451381713,5.653132991006705
Brokered by BHHS New York Properties,Condo for sale,26000000,5,6,4859.0,"24 Leonard St Apartment 2, New York, NY 10013, USA",40.718295,-74.007645,17.073607095985757,luxury,Condo for sale,1.791759469228055,2.23606797749979,2.312438341272753,5,1.9459101490553132,5-6,0,8.48879371689454,10013,Manhattan,True,False,False,5350.895245935378,8.585206028734483
NoBroker,Condo for sale,3999999,2,2,1997.0,"527 W 27th St #5s, New York, NY 10001, USA",40.7509451,-74.0035855,15.201804669084133,upper,Condo for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,0,7.599901959208498,10001,Manhattan,True,False,False,2003.0040060090134,7.6029024612092515
Brokered by Bond New York- Columbus Circle,Condo for sale,2295000,3,3,1615.0,"166 E 63rd St #10c, New York, NY 10065, USA",40.7641145,-73.9651826,14.646243401476783,mid,Condo for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.3862943611198906,3,0,7.38770923908104,10065,Manhattan,True,False,False,1421.0526315789473,7.259856622040375
Brokered by RE MAX Elite,Multi-family home for sale,689900,3,4,2448.0,"179 Ada Dr, Staten Island, NY 10314, USA",40.6210192,-74.1602713,13.4443019385342,entry,Multi-family home for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.6094379124341003,4,0,7.803435056952168,10314,Staten Island,False,False,False,281.8218954248366,5.644817354734115
Brokered by Native Real Estate - Native Real Estate,House for sale,3850000,4,4,4374.0,"105 Franklin St, Brooklyn, NY 11222, USA",40.7295332,-73.957726,15.163583706263967,upper,House for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.6094379124341003,4,0,8.383661798791715,11222,Brooklyn,False,True,False,880.2011888431641,6.781285964045712
Brokered by Exp Realty,Co-op for sale,243000,2,1,965.0,"8 Fordham Hill Oval #12c, Bronx, NY 10468, USA",40.8643305,-73.9075188,12.400816722322686,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,0.6931471805599453,1,0,6.873163834212518,10468,The Bronx,False,False,False,251.8134715025907,5.532651950024525
Brokered by LoHo Realty Inc,Co-op for sale,1995000,4,2,1495.512345,"453 FDR Dr c803, New York, NY 10002, USA",40.7129113,-73.9781415,14.506154608306101,mid,Co-op for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.0986122886681098,2,1,7.3108925765069745,10002,Manhattan,True,False,False,1333.9909942368279,7.1966798249215795
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,250000,3,1,1495.512345,"5128 30th Ave. #5b, Woodside, NY 11377, USA",40.7593913,-73.9054195,12.429216196844383,entry,Co-op for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,1,7.3108925765069745,11377,Queens,False,False,True,167.16679125774786,5.124956292003859
Brokered by Home Source Realty Inc,House for sale,845000,4,2,1495.512345,"202-08 100th Ave, Jamaica, NY 11423, USA",40.7108416,-73.7572751,13.64709190633931,entry,House for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.0986122886681098,2,1,7.3108925765069745,11423,Queens,False,False,True,565.0237544511878,6.338636046317541
Brokered by Housebiz Realty Inc.,Multi-family home for sale,915000,8,3,1896.0,"2120 Newbold Ave, Bronx, NY 10462, USA",40.8329348,-73.8535075,13.726679344257658,entry,Multi-family home for sale,2.1972245773362196,2.8284271247461903,2.7764722807237177,7-10,1.3862943611198906,3,0,7.5480289699350145,10462,The Bronx,False,False,False,482.59493670886076,6.181247648687607
Brokered by All American Realty Management,Condo for sale,599888,1,1,826.0,"43-33 48th St, Long Island City, NY 11104, USA",40.7436341,-73.916415,13.304498250107226,entry,Condo for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,0,6.717804695023691,11104,Queens,False,False,True,726.2566585956416,6.589279453188524
Brokered by E Realty International Corp,Co-op for sale,325000,2,1,1495.512345,"99-30 59th Ave l1, Corona, NY 11368, USA",40.7373584,-73.8574251,12.691580461311874,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,0.6931471805599453,1,1,7.3108925765069745,11368,Queens,False,False,True,217.3168286350722,5.385947350071931
Brokered by Bold Realty Corp,Townhouse for sale,999000,4,2,1495.512345,"30 Cedar St, Brooklyn, NY 11221, USA",40.6964448,-73.9283241,13.81451005763069,entry,Townhouse for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.0986122886681098,2,1,7.3108925765069745,11221,Brooklyn,False,True,False,667.9984978659604,6.505781814783346
Brokered by E Realty International Corp,Condo for sale,688000,3,2,982.0,"844 50th St #5a, Brooklyn, NY 11220, USA",40.6403284,-74.0028134,13.44154411691548,entry,Condo for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.0986122886681098,2,0,6.890609120147166,11220,Brooklyn,False,True,False,700.6109979633401,6.553379116481493
Brokered by COMPASS,House for sale,950000,3,2,1308.0,"133 W 195th St, Bronx, NY 10468, USA",40.8704967,-73.9011805,13.764217263576723,entry,House for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.0986122886681098,2,0,7.1770187659099,10468,The Bronx,False,False,False,726.2996941896024,6.589338626686878
Brokered by Coldwell Banker American Homes,Co-op for sale,249000,1,1,750.0,"99-60 63rd Rd #9b, Rego Park, NY 11374, USA",40.7326518,-73.8546547,12.425208175446844,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,0,6.621405651764134,11374,Queens,False,False,True,332.0,5.808142489980444
Brokered by Spire Group Inc.- Main Office,Co-op for sale,465000,1,1,1495.512345,"444 E 52nd St #6e, New York, NY 10022, USA",40.754143,-73.963502,13.049792684569493,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,1,7.3108925765069745,10022,Manhattan,True,False,False,310.930231739411,5.742779546583811
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2499000,7,8,3700.0,"444 78th St, Brooklyn, NY 11209, USA",40.6278319,-74.024872,14.73140120981709,mid,Multi-family home for sale,2.0794415416798357,2.6457513110645907,2.644120761058629,7-10,2.1972245773362196,7-10,0,8.216358332386156,11209,Brooklyn,False,True,False,675.4054054054054,6.5167926084256775
